PSYKINEMATIX SESSION DATA
CCTT - CCT-Trivector
MELA_3011 (control)
#1 (01/07/19, 14:14:04)
Independent Variables
 Variable	Value	
v_prime_w	0.4689	
u_prime_w	0.1977	
Trials
Trial Index	DIN	Input	RT	Response	Time	Trial sound Selection	
1	0.000000	NA	NA	Miss	31.44404101371765	beep-01a	
2	0.000000	NA	NA	Miss	NA	beep-01a	
14	0.000000	Bottom Button	NA	Hit	NA	beep-01a	
17	0.000000	Top Button	NA	Hit	NA	beep-01a	
21	0.000000	Right Button	NA	Hit	NA	beep-01a	
33	0.000000	Top Button	NA	Hit	NA	beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	Top Button	NA	Hit		beep-01a	
	0.000000	Right Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
	0.000000	Bottom Button	NA	Hit		beep-01a	
	0.000000	Left Button	NA	Hit		beep-01a	
	0.000000	NA	NA	Miss		beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
						beep-01a	
Saturation
Condition	Mean	Std	Variables	
azimuth	0.055	0	az = 0.07	
azimuth	0.01173853	0.001308363	az = 4.83	
azimuth	0.04881086	0.006733899	az = 5.98	
Events
Kind	Name	StartTime	EndTime	Prefly	Onset	Offset	Duration	stimulusRT	DIN	Input	Instance Index	Response	
Composed Stimuli	New Timeline plate	75.56800103187561	77.60189604759216	0.01351797580718994	75.60620999336243	77.59840905666351	1.992199063301086	1.976604529380793	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	75.58152306079865	77.6021820306778	0.0003468990325927734	75.60620999336243	77.59840905666351	1.992199063301086	1.976604529380793	NA	NA	NA	NA	
Procedure	Position Discrimination	77.86654996871948	79.17051696777344	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	78.11738097667694	78.90900897979736	0.0130469799041748	78.15142798423767	78.90679800510406	0.755370020866394	0.7304510555267285	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	78.13043200969696	78.90928196907043	0.0003529787063598633	78.15142798423767	78.90679800510406	0.755370020866394	0.7304510555267285	NA	NA	NA	NA	
Method	Staircase	79.17269897460938	85.18754398822784	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	79.1730250120163	85.18389499187469	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	79.42374706268311	84.92250096797943	0.0137399435043335	79.45603001117706	84.91424095630646	5.458210945129395	-1	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	79.43749105930328	84.92276895046234	0.0003529787063598633	79.45603001117706	84.91424095630646	5.458210945129395	-1	NA	NA	NA	NA	
Procedure	Position Discrimination	85.18843495845795	86.41175305843353	NA	NA	NA	NA	NA	0.000000	Right Button	NA	Hit	
Composed Stimuli	New Timeline plate	85.43931305408478	86.15008497238159	0.01373696327209473	85.47316896915436	86.14828395843506	0.6751149892807007	0.6600584993362446	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	85.45305395126343	86.15036499500275	0.0003230571746826172	85.47316896915436	86.14828395843506	0.6751149892807007	0.6600584993362446	NA	NA	NA	NA	
Method	Staircase	86.41404294967651	89.14933001995087	NA	NA	NA	NA	NA	NA	NA	1	NA	
Procedure	Position Discrimination	86.4143830537796	89.14696502685547	NA	NA	NA	NA	NA	0.000000	Left Button	NA	Miss	
Composed Stimuli	New Timeline plate	86.66511702537537	88.8853360414505	0.01351702213287354	86.69714200496674	88.88152396678925	2.18438196182251	2.17179852485657	NA	NA	NA	NA	
Composed Stimuli	New Timeline mask	86.67863798141479	88.88558900356293	0.0003740787506103516	86.69714200496674	88.88152396678925	2.18438196182251	2.17179852485657	NA	NA	NA	NA	
Method	Staircase	89.14998006820679	95.14504599571228	NA	NA	NA	NA	NA	NA	NA	2	NA	
Procedure	Position Discrimination	89.15028405189514	95.14137697219849	NA	NA	NA	NA	NA	0.000000	NA	NA	Miss	
Composed Stimuli	New Timeline plate	89.40103995800018	94.8799250125885	0.01341807842254639	89.43913698196411	94.87181401252747	5.432677030563354	-1	NA	NA	NA	NA	
